,total_sessions,total_session_seconds,total_calories
4840-39,1,5460,1463
2268-11,1,10380,595
1563-22,5,21540,3885
1859-28,2,17520,1552
2151-3,3,17820,2342
2406-22,3,22620,3090
709-27,3,25140,3190
4944-2,2,13620,1447
4767-20,2,9420,1676
1622-23,1,3660,815
899-23,3,17160,2757
1762-26,1,7680,521
3343-21,2,20880,2399
3739-3,1,8220,1339
4685-38,1,7740,1470
3218-9,3,19500,3897
2058-15,5,24600,3194
452-29,3,24180,2537
3522-25,5,28680,4702
2484-38,2,14880,1220
3385-52,1,7260,302
4782-32,1,10320,1131
831-15,1,8940,447
3534-5,1,10020,154
311-10,2,10560,1076
2106-25,4,29940,3595
997-16,2,13200,1628
4177-10,1,8640,432
3304-12,2,17880,3074
1485-38,1,2460,1129
3477-39,3,13200,1805
3691-38,2,17280,1797
280-31,2,12000,1904
4766-31,3,18360,1956
2971-30,2,11820,1810
4931-32,2,12120,2266
2677-30,5,29700,3572
1744-38,2,12300,1438
4100-5,2,12060,1700
3501-13,1,9060,180
697-16,1,9960,759
896-21,3,13380,2391
1882-32,2,13920,2123
871-37,1,10740,241
2052-30,1,4080,272
1953-30,1,9540,1368
4530-27,2,10560,1248
1917-28,1,6000,362
3892-18,3,18720,2655
3203-21,1,4020,791
3358-20,1,1800,749
4561-37,3,18600,2403
4577-13,1,3540,1426
3217-41,1,5040,1008
167-10,1,3060,676
879-37,2,6900,1581
3331-32,2,11880,1407
3944-27,1,8580,1130
160-11,5,26760,4316
2190-28,4,19800,4049
1783-38,1,6000,416
4075-24,2,13920,987
3388-13,2,9360,1391
775-29,2,13380,1445
4493-9,2,12060,1793
627-37,3,22740,2626
665-10,4,16860,2587
1295-23,2,7860,2182
2571-1,2,11940,2307
615-29,4,22380,3883
4512-5,5,26340,3980
3849-24,3,15840,3104
4265-16,4,29400,3963
4046-8,4,30780,2312
2005-5,5,31560,4384
621-39,1,4080,1280
1061-31,2,11640,1991
3205-27,1,5100,500
4281-8,3,28200,4726
1906-5,1,7560,1042
3469-32,2,7860,2641
848-39,2,8760,917
2678-13,1,4800,1869
1718-2,2,14940,1512
3230-38,2,17160,1474
200-18,2,20160,2245
2789-39,4,21840,4502
3585-16,2,5460,2178
2908-11,1,4020,497
1373-8,2,11400,2127
4502-40,2,7560,680
3473-38,3,15300,1843
4365-23,1,9600,488
336-17,2,13500,1935
2419-31,4,34560,2865
807-30,1,2280,855
3232-11,1,7920,1545
3585-34,3,22380,2382
2083-12,1,5520,1350
724-32,2,11400,1426
4767-23,1,8460,989
2964-26,2,17100,1125
3887-23,3,14700,3097
2072-25,2,14400,1381
2548-3,2,14760,1666
330-38,2,15900,2162
505-18,3,20340,2256
2809-24,3,26460,3013
3043-18,4,34380,4577
2430-10,1,6300,1148
4800-3,2,5700,1695
1225-1,1,3120,1157
3192-36,1,6780,923
4746-35,2,13320,1211
3840-4,2,10020,2489
957-33,3,28560,2021
3586-23,1,8220,1315
3351-19,2,14940,1490
850-32,2,12240,2020
954-1,1,5040,536
2405-2,2,11520,2924
3425-21,1,4020,683
1977-24,1,1980,353
2905-26,3,23520,2410
4534-8,3,14280,3412
1599-36,2,14040,1062
3798-39,2,18240,798
4129-10,1,2280,603
687-6,1,9600,1162
1555-22,4,35820,2694
930-2,2,17940,1365
1498-25,3,13560,2042
2052-28,1,2400,1510
2507-33,2,4680,1572
3826-38,3,15120,2759
3200-19,3,20820,3536
693-30,2,9480,2621
417-15,1,5400,2008
2585-11,1,5880,1531
3182-15,1,4440,468
4402-14,3,17880,2512
2387-27,3,11820,2816
1837-33,2,9420,2177
3188-40,3,18300,1701
4636-19,4,23700,2401
3258-39,2,15060,2107
4949-25,2,13020,2269
2955-15,3,17160,3328
3216-30,2,12600,1308
4348-15,3,18780,2001
863-7,3,19560,2494
4337-13,2,14760,2325
3995-14,1,10740,827
80-7,2,17940,1847
2817-31,2,10860,1071
2171-8,5,33180,4156
2752-35,2,10860,1020
1957-38,3,21780,3185
4503-13,1,8460,996
1893-14,2,18300,1760
3672-12,2,19200,1062
2522-25,2,17760,3548
4696-21,1,3660,758
863-27,3,14520,1287
179-16,1,7380,850
130-11,1,3660,884
1277-28,2,5580,2266
1095-52,1,4680,674
3440-3,2,8220,2176
1111-17,3,20100,2845
3678-5,2,18960,1587
927-6,2,15060,1767
3498-10,1,5460,666
2754-8,3,27780,2940
2045-16,1,5760,1798
1552-12,3,23700,1390
2056-13,3,22380,2065
3624-11,1,9120,846
209-31,1,7320,532
206-24,1,3480,284
2645-14,2,13440,1521
1696-19,2,10260,793
1916-30,3,13620,4043
2167-24,4,24180,3157
755-5,2,12600,2089
2429-9,1,7980,1723
536-24,2,9600,2374
904-26,2,13080,1159
3922-17,2,15300,1002
1491-39,3,15660,4372
147-41,2,10560,2106
3750-27,1,2940,1675
4524-6,1,4200,1133
2330-22,2,11400,1978
2140-8,4,25200,4754
418-20,1,10440,947
1197-1,3,28680,1888
1625-10,2,11880,2285
4767-18,3,21900,2854
104-36,2,9900,1911
579-36,1,7560,913
2986-15,1,2160,939
3164-3,2,7860,1565
561-8,1,10140,684
138-1,2,8220,969
3599-22,2,12360,1980
2253-20,2,19200,1969
2235-9,3,18900,1626
3639-20,4,22320,2765
4919-27,1,10140,687
2250-1,3,16440,2077
3256-28,1,2340,639
3845-27,1,6420,1333
2822-20,8,50220,6688
2472-37,1,3420,671
3312-4,1,2100,908
229-21,2,20280,1913
128-13,1,4320,1507
383-26,1,2400,985
2379-41,3,19680,3248
1476-13,2,9840,903
4506-24,2,13260,1410
4750-7,2,11220,1697
1534-6,3,12840,2172
2148-5,3,11820,2482
1177-23,3,15900,3024
3264-26,2,15000,1603
3141-15,3,15180,2465
1860-36,3,17940,1539
1137-16,1,10140,729
3476-4,2,8880,2114
2430-11,4,25800,2892
4139-14,1,9000,329
4485-35,1,2280,504
3037-3,1,5700,423
110-17,2,10860,1617
1837-31,2,8100,2232
364-6,3,13620,2935
4167-3,1,6240,409
993-17,2,8340,2176
3898-25,2,13860,1606
3795-30,2,8700,3513
1331-4,2,16620,2242
1914-24,3,14100,3091
1937-20,1,3780,469
1869-2,2,12060,2186
2089-23,2,17040,1490
2827-5,3,19320,2672
1023-10,2,11760,550
1843-40,5,28920,4926
3099-24,2,17820,708
1462-37,2,19080,2483
2770-40,2,11160,2311
3276-4,3,18600,2018
3624-18,2,14760,1204
2294-32,1,9120,1036
3182-24,1,9900,742
914-32,1,1860,671
2817-36,1,3360,1238
2064-33,3,11820,3748
3016-36,1,9840,759
1986-40,1,8100,1695
2679-21,4,13560,4295
3971-2,4,32220,2102
3336-39,1,3360,1054
1276-33,2,4140,2202
3602-11,2,9060,883
1626-39,3,21780,4252
1561-35,2,15480,2917
3141-30,2,13860,2159
11-15,1,5220,1548
260-29,2,8340,1724
3082-15,3,17340,1692
3658-3,1,1980,669
2956-2,4,22860,3327
3163-17,3,24660,3211
2528-35,2,15600,2262
23-11,3,17400,1195
3256-12,1,2160,1317
2606-17,2,14340,1480
350-3,2,15180,1905
4682-15,2,6000,1214
4097-23,4,25440,3003
2852-37,3,17820,2257
1086-4,1,4860,284
2668-8,1,8340,516
4112-5,1,8760,700
424-19,3,18300,3185
1328-30,3,27720,2108
2457-1,2,10980,2407
1718-4,3,24120,2651
477-40,4,20220,3059
1484-1,2,8700,2552
4525-20,3,19320,2927
2161-35,2,16740,1548
2215-8,2,16560,1588
1692-13,2,10260,2387
3838-29,1,9180,716
1846-4,3,18360,3238
4372-6,3,16500,2606
1228-36,1,3540,981
3862-11,2,19680,1023
3528-41,1,4740,1563
140-7,3,17280,2297
3878-38,2,10620,1793
1372-28,4,27120,3577
348-36,1,6120,520
1287-5,1,6300,1528
324-27,5,24900,4790
2717-20,2,16560,2418
1405-19,4,24300,2066
1898-38,1,4740,871
3666-37,1,7440,1922
3000-34,4,16380,3717
4936-20,3,16620,2949
1775-38,1,8880,1053
2276-2,4,22920,4391
4384-31,1,8100,981
4795-16,2,14520,2970
2527-38,4,20640,4560
401-19,1,7980,1371
1878-36,4,33720,2393
314-1,2,12120,1330
3445-21,3,20700,4038
627-18,1,4080,1216
831-11,1,3600,724
2095-1,2,10500,1601
2378-6,4,12480,3037
1295-9,1,2340,1064
4216-16,2,17760,1759
1671-19,2,13800,3027
102-2,2,12600,1979
3346-16,3,27900,2171
1362-25,1,9060,1602
19-18,4,34380,4556
4003-19,3,14760,1360
2631-25,2,11040,1800
2922-16,2,14640,2303
3046-13,3,14760,1075
4777-21,4,29160,2902
4050-9,2,15660,1095
3334-20,2,11100,1442
4683-5,3,22800,2887
3198-17,2,14340,538
4580-25,2,11640,2004
1755-15,2,10500,897
1317-33,5,23940,4561
214-13,1,8700,579
1299-17,2,13020,1978
3237-18,2,12540,1150
4664-35,1,3540,695
803-26,1,3420,950
84-28,3,23460,1277
2222-7,3,19440,2417
480-10,4,19140,4252
3214-12,2,16740,2220
4667-33,2,10860,1606
4516-7,3,17280,2963
2649-25,3,20640,3182
1490-4,2,11520,615
2018-37,4,29280,3364
1402-2,1,5700,468
4364-39,1,10680,1037
778-33,1,6960,800
4829-32,3,22860,2333
2680-1,2,15900,1075
3748-21,1,9900,1243
2950-41,5,26940,3649
3173-28,4,23520,4922
3821-1,2,13680,1744
3714-30,2,15060,1197
2183-7,2,8160,1676
620-40,2,17160,2845
3497-15,3,20760,1507
4333-32,3,18720,1383
3445-27,1,7740,1624
3537-38,3,23880,2249
2322-32,2,16500,1935
3134-13,1,8580,457
1643-2,2,19920,1119
157-36,2,7920,1180
3955-20,2,9180,2886
470-35,2,11400,942
1531-41,1,8400,1103
4808-40,2,15540,1355
4812-35,1,3180,1344
1349-26,2,16020,2603
1742-24,1,5220,1720
4304-36,1,6240,397
746-17,3,25140,3045
1139-2,3,19260,2567
2493-32,2,15660,1700
2593-36,1,6960,822
3477-20,1,4560,1161
3801-27,2,8220,1549
2630-38,1,7500,1246
446-41,4,30480,3416
3825-35,2,10020,1848
1194-21,1,4080,405
3429-38,3,18720,3859
3013-2,2,10560,2061
2462-40,4,32460,5167
2480-37,3,17520,4112
2750-33,2,11640,2003
87-30,4,12000,2160
4873-27,7,41940,4955
18-32,1,10740,751
2943-3,3,13680,1716
4993-20,2,6000,881
2422-23,1,8100,1685
44-3,1,6360,511
323-22,2,11820,1282
4134-7,1,4680,1125
4777-26,1,6420,378
1296-5,1,8100,625
1251-11,2,13680,1102
979-10,2,10440,2486
415-21,2,8760,1575
3296-38,2,11700,1471
812-40,2,8940,2802
1358-30,2,19620,1222
691-10,3,20040,1749
4854-34,1,5820,259
1062-15,4,23520,2569
4512-40,1,4380,391
115-40,2,13680,1771
4406-38,2,14700,1164
3635-7,2,14220,1425
2033-35,3,11100,4578
3170-14,1,5340,1391
4428-21,2,19020,2130
4489-17,5,35520,6402
1925-35,1,6960,1689
2897-6,2,16200,850
2418-20,2,5820,1868
4669-17,3,17220,3007
4998-21,2,10680,1378
690-7,3,13380,5117
1056-12,1,4080,1111
2451-30,3,23220,1834
3444-36,2,5340,2106
4412-25,1,6960,852
3210-33,3,19680,2448
4720-34,2,11040,767
3407-2,2,14700,1805
4443-35,2,15000,1885
3103-2,2,5700,2388
784-24,2,11820,1237
1052-9,2,9840,1496
429-17,3,22500,2408
1896-29,3,28860,3610
1189-17,2,16200,1438
1353-16,3,20100,3506
839-39,2,12960,1860
2364-5,1,1980,1240
832-39,2,18060,1174
4924-19,2,12840,1812
1967-38,2,9000,1936
4774-39,3,15480,3985
193-35,1,4860,527
3106-39,2,13260,1813
4758-9,1,10320,1334
4190-15,4,20340,4243
3784-15,1,2760,1343
770-8,1,6180,778
3678-40,2,13200,2047
2026-8,3,8940,2141
870-10,2,6600,1831
1122-1,2,15900,1545
2982-23,3,27060,2506
3360-6,3,19680,2952
1754-14,4,28440,4316
2110-4,4,29160,3223
4832-40,1,4800,220
4728-17,4,36780,2836
1081-38,1,10620,1504
3979-36,5,20160,3251
4717-26,1,6600,352
57-10,3,25080,2311
1460-31,2,19080,1642
1591-17,1,2280,1768
150-8,4,24600,4001
3990-18,3,20460,4727
324-37,1,5220,919
2557-24,2,11640,1908
2408-4,2,13920,990
2731-13,2,10560,2677
1404-11,2,10680,1207
1424-31,1,8460,177
3306-33,2,16920,890
3668-39,3,28800,2736
4554-36,3,16080,2137
4385-36,1,7320,830
2655-39,1,4680,263
236-20,3,20100,2880
4352-27,2,7080,1405
4033-4,2,12540,725
1317-27,3,20700,2445
3012-39,3,24900,3281
4643-31,1,7980,815
4932-31,1,5880,807
256-10,2,11040,1882
3084-34,2,12540,1588
1897-33,1,3720,1750
418-10,2,14460,1293
1996-19,2,10080,2093
3797-9,1,7740,1278
434-15,1,9240,544
61-1,2,11940,1463
3219-9,2,5280,879
1005-31,1,5520,630
1246-24,2,10620,2874
627-8,2,13680,1719
3476-40,1,6780,815
4555-37,2,11640,2496
3794-38,3,11520,3497
3394-12,1,9240,1828
775-25,2,14520,2433
4187-8,2,9420,2039
3855-36,1,6360,1057
339-15,1,9480,1149
4294-11,2,10140,1244
1976-13,2,15840,1350
3553-32,3,15960,2624
1628-27,1,10080,545
4108-31,1,7560,623
732-39,2,9660,1760
1911-29,4,24840,2537
2565-18,4,22560,4830
4883-52,1,4920,830
2376-39,2,17280,1552
2597-21,1,2640,291
1195-31,2,12720,2359
4293-10,1,6000,830
2800-2,3,12360,2103
134-25,2,18360,2566
2933-37,1,6720,327
3292-17,2,12960,1249
2176-25,3,22560,1917
2828-19,2,8640,1301
1423-16,1,3060,610
3647-20,1,7020,768
4981-5,3,17580,2377
500-32,2,14460,1007
1031-14,4,28860,4323
4315-14,2,12900,2076
945-19,2,13080,1391
1332-7,2,19860,2809
555-38,1,6480,917
171-26,1,9300,738
3189-34,4,27060,2868
3750-19,2,17400,2671
603-5,3,16380,2719
211-12,2,12840,1394
749-40,1,5460,260
3408-24,1,5100,502
1228-7,1,7560,205
3891-10,4,27120,4660
4275-21,3,16740,1963
1394-26,2,11640,2002
3320-2,2,8460,1640
4846-21,2,5040,621
2142-35,2,19200,1546
2448-16,3,13860,3369
1468-25,2,15960,3024
1429-27,1,4200,1263
4350-29,2,7560,1743
2500-36,2,13920,789
747-37,2,16560,1441
2374-28,2,9840,1279
4372-19,3,18600,1899
4268-19,3,20880,2632
3131-14,2,5400,1176
3534-12,1,7800,903
2722-36,3,22980,1060
4340-17,1,2520,1397
1836-9,2,20220,1243
701-21,4,29940,3561
533-9,1,10620,907
4606-5,2,18060,2687
2356-24,3,13740,2822
3066-28,1,10140,2055
4622-19,2,12420,1434
2962-17,4,29640,3099
3005-4,2,11280,1583
4804-23,2,12960,1380
4264-18,3,20820,2519
2717-8,1,5460,936
4804-41,3,15840,3157
1389-21,2,13980,1592
4094-8,3,15840,2693
2626-26,2,17580,1654
3443-27,1,2460,505
4542-16,4,15660,2578
4810-31,5,28140,5276
263-1,3,30120,3586
698-32,1,6540,1035
1615-14,3,16320,2242
1451-36,1,3060,1910
2228-38,4,28620,2309
1752-31,2,9660,1478
4802-2,2,9600,2153
1933-8,2,8580,2671
4236-33,2,13560,2866
700-28,2,11400,1350
796-1,1,5640,1003
3982-3,1,2160,446
1273-24,2,10380,2935
4412-18,1,4500,840
2125-9,2,12840,1786
4619-28,3,19200,2951
4740-16,1,5100,584
2740-9,2,21120,2338
634-21,3,16920,2776
3011-30,1,4260,1648
3289-39,1,4560,1015
721-39,2,9060,2687
3518-37,2,12540,2013
2399-21,2,18420,2869
654-31,1,6480,1322
3375-39,1,7920,1056
1347-6,2,9660,1935
3167-19,3,17400,2144
3516-4,3,15060,3331
2237-22,1,8580,570
4753-8,2,11460,1625
2172-6,2,15480,1546
3931-19,2,14220,2217
4256-33,3,20340,2514
1381-25,5,24720,5437
1272-27,4,25200,3120
4404-30,3,14700,1696
1486-10,3,15120,3332
950-29,2,11280,2566
4118-26,1,4320,914
2920-37,2,19260,1889
813-41,1,5700,938
284-19,1,2460,267
4163-18,2,6720,1240
494-11,2,10620,1442
1639-30,2,17820,2587
6-40,3,16200,2168
1678-22,3,21300,2884
1492-22,2,15600,2218
4951-7,3,13140,2144
2125-23,1,8940,1985
4652-1,1,8520,575
2798-5,1,5280,1109
1069-33,1,6840,1620
457-32,3,17520,2663
1648-10,4,33900,2518
1798-14,2,12180,1184
348-41,2,16620,1306
1415-37,2,14760,1705
2259-7,2,14760,1725
2399-22,3,25020,2110
1071-23,2,16560,2928
1516-6,2,11820,1881
534-37,2,10140,2851
77-30,2,11520,1516
2053-3,2,11520,659
2765-3,5,24720,4417
2687-6,1,3420,534
1868-8,5,31680,5944
2890-25,2,15600,1772
1551-14,3,20820,1928
1602-14,2,12600,1909
2273-13,2,12720,1234
4194-34,4,20280,3911
1327-25,3,22440,2949
1754-16,3,15780,2883
752-14,3,20400,2395
4093-39,2,12180,3068
2040-27,1,3720,355
1679-14,1,10680,188
1187-33,2,8880,1501
3231-12,2,8400,2027
1737-28,3,23880,2371
1830-22,3,25680,2033
2431-23,1,7080,916
4889-33,4,23820,2822
4213-1,2,16140,1189
2656-22,2,17160,2777
1211-5,3,17040,2916
134-24,2,11280,2435
587-25,4,31140,4630
215-33,3,17580,1121
2165-11,1,3060,588
318-9,3,8640,3810
4703-7,2,15840,620
3313-24,4,25500,3216
3435-4,2,12780,1916
1046-8,6,35400,5388
2086-14,1,4020,798
654-20,2,15720,1486
1798-36,1,7920,736
4334-14,3,18660,2988
3965-1,1,9300,726
3985-35,2,13560,1846
3092-30,1,10380,812
1850-11,3,22620,2935
3570-36,1,3000,559
3189-13,6,33720,5143
4763-24,1,8880,1096
3560-21,1,2400,616
517-31,2,5460,2193
4161-4,1,6780,871
4753-17,2,13140,1258
3331-34,3,17100,1671
937-22,1,4020,626
2293-21,3,15900,2538
3808-3,3,21480,1483
4676-20,3,25380,2491
2968-3,2,17460,2139
4090-14,4,30060,5774
4601-33,2,10380,1796
3584-19,2,12900,1714
4428-15,2,9120,2022
839-1,1,7080,746
1163-16,2,12360,1402
4866-15,1,9420,297
1297-27,3,14700,2448
125-11,1,5220,1134
78-15,1,3960,951
2353-40,1,9300,992
1130-29,1,5400,466
2580-14,2,9900,1779
4207-29,3,13500,2793
4277-28,3,21180,1940
2413-38,3,20040,1690
1672-32,1,3420,937
4261-22,1,2040,1581
484-13,2,7740,2563
4401-34,3,24240,3633
452-28,2,18840,1394
3102-36,2,5640,2826
1844-2,5,26520,4393
822-7,2,11940,975
4971-39,5,30420,3294
1194-4,3,22020,2200
2399-10,2,17280,1273
1741-40,3,13920,2026
2119-11,2,10500,1493
3682-6,2,7080,1418
3626-20,1,3480,1035
1995-8,1,6900,1486
1760-32,1,9780,687
3181-10,2,17880,2550
3572-6,2,8880,1371
1313-33,2,9300,1569
2395-28,1,8760,719
2919-36,1,9300,537
1579-30,4,22200,4082
2488-17,1,8100,911
3560-32,3,12120,2952
3385-34,1,10560,672
4769-36,2,12660,1268
2236-37,2,6420,1987
3303-11,2,10680,1819
3660-5,4,19620,3558
3667-33,1,6600,329
1255-14,5,31140,6205
1685-18,3,15960,1593
2796-23,2,8040,1875
177-18,2,19200,1381
635-14,1,3660,985
1496-1,2,5760,2499
2192-20,2,11760,1129
210-35,4,19440,3835
3404-22,2,11280,1127
1275-31,3,13320,3279
2290-12,1,6720,490
2613-39,1,5940,888
2903-9,1,7440,754
1200-24,1,10200,364
4389-9,1,6180,1536
1069-30,2,14400,1564
4739-26,4,24180,2848
2438-40,1,3960,1302
3462-24,2,15900,2031
3661-29,3,20280,2055
2205-7,2,14580,1099
4875-36,2,15240,2218
3874-2,4,33060,4654
4319-13,3,15480,2923
2172-27,1,10560,704
2853-30,2,12840,1508
4643-17,2,15360,855
3975-34,1,5100,484
3460-4,1,9360,1145
3341-20,2,11880,721
4112-30,1,2700,860
4609-17,5,34560,4792
4450-27,3,14220,3544
977-31,2,6120,1981
337-15,1,5940,556
1827-2,2,19740,1640
4789-25,2,13020,637
2424-11,2,10680,1314
2021-27,3,19260,3165
589-33,2,11520,2192
1537-37,1,4920,612
1357-34,2,12240,1794
344-38,1,5880,974
1380-39,2,10800,1418
2949-10,1,8340,555
3654-11,1,3180,1752
3458-1,1,7980,1313
4461-40,2,13020,1327
498-26,2,13500,2290
4932-27,1,3600,259
2916-8,2,16200,1533
3067-39,1,9660,457
1621-28,1,4500,1433
3153-8,2,11460,2568
2006-27,1,7260,1307
679-23,5,31020,4375
2315-5,5,36300,3828
1760-33,3,24060,3243
1391-20,3,10800,3464
1508-18,2,7800,2485
2627-28,2,9900,1262
3760-15,3,22680,3495
3688-34,6,40800,4415
3880-13,2,10800,1106
1296-10,2,20940,459
1184-16,3,20040,2483
4964-30,2,7500,1549
3686-2,4,17100,2817
4594-30,2,13080,1954
199-13,2,12660,2003
2370-16,1,1980,467
2408-33,4,23100,4103
458-13,2,11820,1045
3559-29,1,9120,217
4249-12,2,15000,1064
4406-4,1,6720,1060
4548-10,4,25320,3189
2316-31,2,13380,1156
4298-6,2,13680,2304
1137-14,3,11520,2566
3998-13,2,7680,1785
3818-33,4,19740,3790
67-27,1,4440,591
4724-9,2,9780,2554
2628-15,1,3180,752
676-23,4,17820,4057
2329-27,1,2460,350
1032-37,1,2100,1761
1305-20,1,2100,581
1651-32,3,10560,3799
4284-34,4,25020,3780
4909-31,3,23400,4392
1765-37,2,15960,2039
559-39,3,21300,2396
3762-21,1,6780,1305
850-35,4,19740,4118
2226-29,2,13620,2868
4-3,2,8040,1066
4406-41,2,9780,2225
3689-41,2,13680,1650
1709-7,2,14160,1557
4895-26,2,12480,1828
2426-38,2,13740,2136
1411-36,2,17520,2140
2051-28,1,2220,681
4155-27,1,5340,1144
1424-38,2,10980,1010
2202-27,5,30120,5139
4774-16,2,9840,1014
3441-39,2,12780,1319
243-31,1,10740,931
2325-9,3,21540,3137
681-1,3,16260,1492
3515-40,2,7020,1826
2137-31,2,9420,1150
2285-39,2,11700,1783
2360-14,3,23820,2739
190-30,1,7500,409
729-1,4,17400,2668
15-20,5,26160,4994
3266-32,3,14280,3249
766-35,2,9660,1912
3829-32,3,12120,2834
3239-27,2,9540,2990
1270-40,2,11340,1177
3769-3,2,9060,1038
4079-36,5,31740,4510
2367-32,1,9060,651
215-41,3,24060,3287
3607-14,3,16140,4204
2892-7,3,15900,3113
2746-22,2,10560,2817
1550-31,1,4980,672
3356-25,2,12600,1620
2309-20,1,8220,789
4036-2,5,25620,3260
4152-3,1,9900,397
1689-25,2,9840,1399
3483-1,3,15480,1509
4059-30,1,3120,985
2311-30,2,19020,1855
3392-19,1,2100,1429
4452-24,2,13500,1465
3998-1,2,11940,1526
4764-33,2,16080,1915
2088-33,1,5940,1476
3035-40,2,13680,966
3029-29,5,33120,3168
4411-5,1,10500,551
1812-15,2,10440,1472
4543-22,1,5580,867
2761-37,1,5160,1120
3313-35,1,5400,675
2709-10,2,18060,1891
1323-37,3,13560,4641
2264-7,3,14700,3415
2177-24,3,22680,1501
927-14,3,17820,1671
1454-12,4,19920,3208
3735-32,4,27600,2522
4379-8,2,6540,2384
3116-25,1,10440,919
2222-3,3,17160,2949
3344-27,2,20520,1772
4059-38,3,16980,3919
4288-29,1,2460,977
4365-13,2,12060,1391
136-14,1,3360,712
4781-14,1,3180,657
4749-18,3,21540,2692
1028-35,1,4740,985
3733-28,2,14640,1347
930-12,2,13200,1783
3413-11,3,21240,2224
2368-30,1,5760,833
848-14,1,2400,599
3496-19,3,11940,1498
4615-31,2,14700,1684
1918-31,1,3420,993
3880-38,1,7800,1530
4373-41,1,10200,1440
2139-30,2,15540,834
3836-27,4,21780,4845
3786-9,1,6660,710
335-38,2,16380,1681
4719-18,3,15060,2266
1217-17,3,21720,2176
2927-9,4,27360,3291
2633-37,1,4860,789
4775-5,2,15840,2072
3346-12,2,13680,1316
934-32,2,13800,1352
2069-24,1,7140,1143
4142-12,2,15180,1460
2137-23,3,17400,1039
3863-14,1,4920,1607
4604-41,1,8040,612
2800-5,2,20880,1925
3138-24,1,7140,672
4993-6,1,8940,278
1993-30,2,17760,2011
3132-31,3,17520,2446
4692-10,4,35160,3292
4258-15,3,11700,3365
2799-30,2,11820,975
4074-20,4,22920,3990
1284-38,1,7740,1765
2274-9,1,8520,440
69-38,5,36000,3600
2026-13,1,8160,413
281-12,2,10440,1414
1576-29,1,4740,798
793-29,2,4680,2190
307-28,2,15360,1897
3961-1,1,3000,1390
146-34,1,4020,1051
443-52,2,18480,2283
3927-25,3,19080,3534
309-2,1,6540,2035
4578-39,1,10560,247
4679-29,1,9900,429
4041-15,1,9660,1401
2419-20,5,32460,5100
4150-36,4,29280,3422
577-12,3,16320,2100
1269-32,3,16920,4025
1409-39,2,11820,2712
2713-19,1,6300,1639
4660-28,5,28500,5343
3320-21,1,8940,810
4579-17,1,7680,816
2946-12,2,11340,835
1754-40,2,10380,1112
5-34,1,10320,737
949-11,2,12960,2524
1019-3,4,14280,2420
1343-10,3,14880,2425
1947-32,2,10800,2160
1521-35,1,6120,920
2998-40,3,19560,2623
1439-15,1,3120,1481
4032-16,2,18240,1050
1038-12,4,32340,3884
4498-1,1,4200,382
530-38,3,21240,2716
4858-22,2,15900,1211
2130-19,3,21900,3793
3555-6,2,14100,3132
899-11,2,17700,3123
1846-40,1,7740,1256
3600-27,1,3840,1165
3476-24,3,19800,1782
2840-4,1,4500,1458
1259-12,2,19260,1929
344-2,1,8760,1079
1149-13,4,18540,4566
3695-30,1,5460,1708
3239-8,2,10860,2299
4892-22,1,5220,922
3452-17,1,8280,1147
2683-11,1,5880,360
4813-11,3,12000,1928
4315-21,3,22740,3556
2647-34,1,3900,423
2348-31,1,1800,992
4992-16,2,10620,2140
4069-33,3,10740,3024
1540-22,5,32520,4073
2817-15,4,19860,3650
1234-32,2,16140,2396
2729-40,3,18840,3521
297-28,3,27240,3208
3082-18,2,10020,1339
2165-3,4,29760,2735
1507-29,2,10140,3231
1924-26,1,3480,1007
2245-19,4,37320,2788
2235-21,1,10080,285
678-16,2,15300,1157
3302-36,1,6900,550
4376-39,2,13860,1594
3736-5,2,13860,1568
3188-24,1,9000,1014
4695-26,1,3720,950
597-37,2,10380,1888
1124-35,1,10620,696
4874-3,3,26700,1505
2875-52,1,2220,395
4910-14,1,6600,761
1915-13,2,8160,648
1824-3,3,18240,2076
2343-35,1,4440,1352
4391-15,4,22500,2467
3812-30,5,36060,5233
2752-33,2,11760,1579
1712-11,3,14940,1913
1562-40,3,17820,2506
2372-32,1,5880,505
622-9,2,11640,1411
3604-1,2,6780,1489
1603-7,2,12360,1550
4291-15,1,6060,511
2934-33,1,2100,538
4598-29,2,10500,910
2064-4,1,7920,537
4319-39,2,13980,2878
2721-28,1,6420,969
2420-2,2,13440,428
4080-36,2,12420,1352
3673-28,1,9720,991
571-25,1,3600,881
4393-35,1,7680,906
3263-9,1,8700,967
3390-34,3,20820,2501
84-11,2,17580,1344
374-40,1,8220,727
1283-1,1,9360,581
910-20,4,30300,1764
2391-38,3,16080,2430
248-15,1,3000,424
1691-9,3,20400,3024
1803-17,1,4800,488
4954-31,6,35400,6426
3437-34,2,17100,2563
3754-41,2,16920,1614
1283-32,3,23460,843
2848-26,3,15360,1241
3620-24,2,6360,2076
3955-11,1,4080,440
2546-18,3,12720,4565
25-1,3,9840,3324
1470-41,3,10440,1958
1177-16,2,20220,1515
2101-40,1,5940,650
4579-4,4,20040,3661
236-3,2,13740,1958
3548-20,3,24420,3149
1614-10,2,6180,1934
3534-6,3,19740,3488
788-29,1,4620,855
2534-23,2,10860,1202
1840-8,1,6660,566
3556-35,2,12900,1311
2814-40,1,8580,393
2218-8,3,17580,3479
3416-21,5,18420,5189
3790-36,1,7620,284
4041-35,1,4680,579
2388-1,3,24240,2278
1080-12,2,7200,1820
